bank_name,filing_date,filing_year,risk_factors_length,mda_length,rf_hedging_density,rf_severe_density,rf_sentiment_compound,rf_sentiment_negative,rf_word_count,mda_hedging_density,mda_severe_density,mda_sentiment_compound,mda_sentiment_negative,mda_word_count,rf_length_yoy_change,mda_length_yoy_change
Synovus Financial,2022-02-25,2022,0,100000,,,,,0.0,34.891508170372354,0.9375837128315028,0.68967,0.05135000000000001,14932.0,,0.0
Synovus Financial,2023-02-24,2023,0,100000,,,,,0.0,33.304353641409755,0.9362669698388283,0.6741249999999999,0.054200000000000005,14953.0,,0.0
Synovus Financial,2024-02-23,2024,0,100000,,,,,0.0,32.819825853985265,0.9377093101138647,0.7602749999999998,0.05205,14930.0,,0.0
Synovus Financial,2025-02-21,2025,0,100000,,,,,0.0,32.396251673360105,0.9370816599732262,0.7812050000000001,0.05135000000000001,14940.0,,0.0
Truist Financial,2021-02-24,2021,0,0,,,,,0.0,,,,,0.0,,
Truist Financial,2022-02-23,2022,0,0,,,,,0.0,,,,,0.0,,
Truist Financial,2023-02-28,2023,0,0,,,,,0.0,,,,,0.0,,
Truist Financial,2024-02-27,2024,0,0,,,,,0.0,,,,,0.0,,
Truist Financial,2025-02-25,2025,0,0,,,,,0.0,,,,,0.0,,
Truist Financial,2026-02-24,2026,0,0,,,,,0.0,,,,,0.0,,
U.S. Bancorp,2021-02-23,2021,32733,0,20.06335797254488,0.6335797254487857,0.7809571428571429,0.029857142857142856,4735.0,,,,,0.0,,
U.S. Bancorp,2022-02-22,2022,16801,0,25.58811390837804,0.0,0.979175,0.0315,2423.0,,,,,0.0,-0.4867259340726484,
U.S. Bancorp,2023-02-27,2023,16584,0,10.815307820299502,0.0,0.9931,0.017499999999999998,2404.0,,,,,0.0,-0.012915897863222447,
U.S. Bancorp,2024-02-20,2024,14167,0,10.721247563352826,0.0,0.9954000000000001,0.019666666666666666,2052.0,,,,,0.0,-0.14574288470815244,
U.S. Bancorp,2025-02-21,2025,7145,0,10.121457489878543,0.0,0.9944500000000001,0.013999999999999999,988.0,,,,,0.0,-0.49565892567233716,
U.S. Bancorp,2026-02-23,2026,7933,0,10.830324909747292,0.0,0.9948999999999999,0.0125,1108.0,,,,,0.0,0.11028691392582224,
