TRADE,NIMY,IDT1RWAJR,DEPINS,LNATRES,BKCLASS,NOIJ,ELNATR,INTINC,NCLNLSR,P9LTOT,LNLSNET,IDT1CER,DEPFOR,ROA,P3LTOT,DEPDOM,ROE,LNLSGR,NETINC,EQ,LNLSDEPR,NTLNLSR,DEPUNINS,FREPO,CHBAL,OFFDOM,CERT,STALP,EINTEXP,COREDEP,DEPIDOM,REPDTE,RBC1AAJ,SC,PTAXNETINC,NUMEMP,ASSET,NONIX,DEP,NIM,CITY,RBCRWAJ,P9ASSET,NAMEFULL,P3ASSET,NONII,LIAB,EQTOT,ID,bank_name,ticker,failed,failure_date,report_date,year,quarter
0,3.045138192508435,12.092842706760441,6597162,208385,NM,33084.76,140762,399269,0.4999451717146425,0.0,33578920,12.092842706760441,,0.31497337866420844,0.0,34819269,3.43,33787305,34472,4001173,96.4377511773725,1.5362194106666076,28515747,0,949815,32,57053,NY,78957,33642398,23011836,20180331,9.466753698771171,8844770,45498,1334,44435634,138491,34819269,320312,NEW YORK,13.454893963913397,145,SIGNATURE BANK,67465,4439,40434461,4001173,57053_20180331,Signature Bank,SBNY,True,2023-03-12,2018-03-31,2018,1
0,3.0301568040161437,12.107679933294872,6538431,213367,NM,186778.64,148732,818928,0.4690820985019552,0.0,34598876,12.107679933294872,,0.8543609205697457,0.0,34996409,9.31,34812243,189057,4147622,98.86407488265438,0.7752028511408939,28610669,0,680364,32,57053,NY,174755,33798946,23277102,20180630,9.642527107393459,8796037,250434,1359,45215484,252679,34996409,644173,NEW YORK,13.43295867847482,5162,SIGNATURE BANK,39600,7672,41067861,4147622,57053_20180630,Signature Bank,SBNY,True,2023-03-12,2018-06-30,2018,2
0,3.0178454160995773,12.15637128160793,6676654,220706,NM,341114.48,156083,1257152,0.3951908561872613,0.0,35409420,12.15637128160793,,1.0284831618466144,0.0,36095082,11.19,35630126,344502,4237997,98.10040049223326,0.5102485977565722,29505598,0,317481,33,57053,NY,284199,34294887,23872017,20180930,9.666936778653982,8976871,453808,1380,45870711,371824,36095082,972953,NEW YORK,13.466778113621697,6542,SIGNATURE BANK,59392,8762,41632714,4237997,57053_20180930,Signature Bank,SBNY,True,2023-03-12,2018-09-30,2018,3
0,3.0167513878486103,12.111292113139296,6675916,230005,NM,501290.09,162524,1723291,0.3181901631583807,0.0,36678427,12.111292113139296,,1.1179818768541043,0.0,36382379,12.13,36908432,505342,4407139,100.8137125942204,0.3687990741641082,29880514,0,432784,33,57053,NY,410010,34552078,24340767,20181231,9.700320242494739,9032345,668353,1415,47364816,492873,36382379,1313281,NEW YORK,13.413045892143138,8755,SIGNATURE BANK,62766,10469,42957677,4407139,57053_20181231,Signature Bank,SBNY,True,2023-03-12,2018-12-31,2018,4
0,2.8063576269962525,11.966449890463938,7211225,235435,NM,142458.14,6309,470187,0.257010708034404,0.0,37343544,11.966449890463938,,1.20150404637648,0.0,36625937,12.86,37578979,144065,4552042,101.95928639313718,0.009440521432541132,29489349,0,622243,33,57053,NY,146602,34158820,24941359,20190331,9.683642186335552,9138711,191693,1448,48558290,126562,36625937,323585,NEW YORK,13.238049980518927,1886,SIGNATURE BANK,23921,979,44006248,4552042,57053_20190331,Signature Bank,SBNY,True,2023-03-12,2019-03-31,2019,1
0,2.82081059017892,11.606294284318663,7365244,244517,NM,289227.8,11717,955850,0.12012247283156069,0.0,37996454,11.606294284318663,,1.2096987614878387,0.0,37544797,12.86,38240971,291977,4661723,101.202981600886,-0.014876466513996447,30534570,0,464903,33,57053,NY,301026,35035047,25010817,20190630,9.700057772554526,8967496,387815,1478,48894931,260070,37544797,654824,NEW YORK,12.84122340258068,4663,SIGNATURE BANK,50939,4778,44233208,4661723,57053_20190630,Signature Bank,SBNY,True,2023-03-12,2019-06-30,2019,2
6684,2.8277016066476905,11.945575593930824,7460477,242754,NM,437029.71,12881,1444918,0.09025704550353847,0.0,37976977,11.945575593930824,,1.210011647113861,0.0,39060980,12.8,38219731,440704,4741858,97.22484433314268,0.000466373766461062,31831888,0,991936,33,57053,NY,457076,36612790,27003517,20190930,9.662067683923286,9013995,585180,1495,49424934,395795,39060980,987842,NEW YORK,13.197636921549766,1937,SIGNATURE BANK,58730,6014,44683077,4741858,57053_20190930,Signature Bank,SBNY,True,2023-03-12,2019-09-30,2019,3
6503,2.839450534656141,11.618943283043699,7280305,249989,NM,584511.48,22636,1932346,0.15135703824567867,0.0,39150227,11.618943283043699,,1.2025566847717954,0.0,40386151,12.73,39400216,588926,4769823,96.93973312782394,0.006966176204257617,33291628,0,929294,33,57053,NY,600202,38204533,27354179,20191231,9.598228956064943,9063234,782048,1493,50621162,535407,40386151,1332144,NEW YORK,13.319073431063732,2300,SIGNATURE BANK,31447,7947,45851339,4769823,57053_20191231,Signature Bank,SBNY,True,2023-03-12,2019-12-31,2019,4
47560,2.892571799940995,11.041695454361902,7540334,356274,NM,97999.1,66823,486816,0.15278096284954082,0.0,40951883,11.041695454361902,,0.7683005490343598,0.0,42243784,8.36,41308157,99587,4763962,96.9417962178767,0.017039124304983822,34857158,0,1622810,34,57053,NY,131574,39968338,28785250,20200331,9.454484374693454,8951215,149644,1493,53074716,145381,42243784,355242,NEW YORK,12.766474603439274,4063,SIGNATURE BANK,118561,6606,48310754,4763962,57053_20200331,Signature Bank,SBNY,True,2023-03-12,2020-03-31,2020,1
3974,2.9542271237059445,10.43058070904887,7789740,444672,NM,214449.96,159831,976503,0.14028694605453573,0.0,45040672,10.43058070904887,,0.7929534946746482,0.0,50235108,9.04,45485344,216801,4862582,89.65974951223356,0.03008232176884052,42565868,0,4665218,34,57053,NY,226231,48230162,34115843,20200630,8.76266964399731,9029609,303594,1569,60349808,298468,50235108,750272,NEW YORK,12.16187780618769,16872,SIGNATURE BANK,159533,11621,55487227,4862582,57053_20200630,Signature Bank,SBNY,True,2023-03-12,2020-06-30,2020,2
